Fuel(C),Bonds,Simulation_5_Full_Ea_R,Simulation_10_Full_Ea_R
10,16,11.884970761708828,11.804733715517452
11,18,11.842139520548695,11.778057643443518
12,20,11.763169360200177,11.718027162708657
13,22,11.735212170510188,11.707986400255512
14,24,11.667831941696573,11.659115094984838
15,26,11.665798266596363,11.667238708354082
16,28,11.642262883019429,11.65358957439203
3,2,19.27808413219793,18.872721058841368
4,4,19.191440777729756,14.864900903773622
5,6,13.641365341421466,12.94057976520604
6,8,12.851640633193982,12.229083242640463
7,10,12.4920927682187,11.95584970105574
8,12,12.103533502688837,11.99429931203421
9,14,12.033463028194069,11.926191878700052
