Fuel,,Diluant(%),Equv(phi),Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
CCCC,count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
CCCC,mean,92.27687500000002,1.0625,1.0291666666666666,6.693958333333334,1.9579166666666665,1453.5416666666667,400.0416666666667
CCCC,std,4.144682243156781,0.30618621784789724,0.5064618674573691,3.686198990584801,1.5934675865154466,108.64700686834071,495.11013084632657
CCCC,min,85.0,0.5,0.05,0.325,1.06,1230.0,46.0
CCCC,10%,85.0,1.0,0.5,3.25,1.098,1277.5,109.30000000000001
CCCC,20%,89.9,1.0,0.7700000000000002,3.25,1.156,1394.0,134.0
CCCC,30%,92.5,1.0,0.95,5.895999999999999,1.17,1408.6,148.5
CCCC,40%,92.572,1.0,0.95,6.19,1.182,1448.6000000000001,155.2
CCCC,50%,92.86,1.0,0.975,6.19,1.1949999999999998,1473.0,178.5
CCCC,60%,92.86,1.0,1.0,6.438,1.23,1506.8,215.79999999999998
CCCC,70%,93.149,1.0,1.0,6.5,1.334,1518.5,356.6999999999999
CCCC,80%,95.95,1.0,1.0,9.100000000000014,2.0060000000000002,1541.8000000000002,425.4000000000001
CCCC,90%,96.25,1.0,2.0,13.0,5.3839999999999995,1556.5,1246.5999999999995
CCCC,max,99.625,2.0,2.0,13.0,5.46,1627.0,1898.0
CCCCC,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CCCCC,mean,95.55,0.9,0.45,4.0,2.558,1314.0,1070.6
CCCCC,std,0.1118033988749895,0.22360679774997902,0.11180339887498951,0.0,0.9713753136661442,66.22310774948575,627.2721100128715
CCCCC,min,95.5,0.5,0.25,4.0,1.62,1267.0,153.0
CCCCC,10%,95.5,0.7,0.35,4.0,1.752,1267.4,424.6
CCCCC,20%,95.5,0.9,0.45,4.0,1.884,1267.8,696.2
CCCCC,30%,95.5,1.0,0.5,4.0,1.96,1275.0,911.0
CCCCC,40%,95.5,1.0,0.5,4.0,1.98,1289.0,1069.0
CCCCC,50%,95.5,1.0,0.5,4.0,2.0,1303.0,1227.0
CCCCC,60%,95.5,1.0,0.5,4.0,2.644,1303.4,1254.6
CCCCC,70%,95.5,1.0,0.5,4.0,3.288,1303.8000000000002,1282.1999999999998
CCCCC,80%,95.55,1.0,0.5,4.0,3.6100000000000003,1328.8000000000002,1405.8000000000002
CCCCC,90%,95.65,1.0,0.5,4.0,3.6100000000000003,1378.4,1625.4
CCCCC,max,95.75,1.0,0.5,4.0,3.61,1428.0,1845.0
CCCCCC,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CCCCCC,mean,95.615,0.9166666666666666,0.385,4.0,2.0866666666666664,1318.0,1096.0
CCCCCC,std,0.08573214099741448,0.2041241452319315,0.08573214099741122,0.0,0.6119368159104881,62.915816771301635,876.7706655676843
CCCCCC,min,95.58,0.5,0.21,4.0,1.69,1237.0,196.0
CCCCCC,10%,95.58,0.75,0.315,4.0,1.725,1255.0,409.5
CCCCCC,20%,95.58,1.0,0.42,4.0,1.76,1273.0,623.0
CCCCCC,30%,95.58,1.0,0.42,4.0,1.83,1278.5,655.5
CCCCCC,40%,95.58,1.0,0.42,4.0,1.9,1284.0,688.0
CCCCCC,50%,95.58,1.0,0.42,4.0,1.91,1318.5,867.0
CCCCCC,60%,95.58,1.0,0.42,4.0,1.92,1353.0,1046.0
CCCCCC,70%,95.58,1.0,0.42,4.0,1.9249999999999998,1355.5,1181.5
CCCCCC,80%,95.58,1.0,0.42,4.0,1.93,1358.0,1317.0
CCCCCC,90%,95.685,1.0,0.42,4.0,2.625,1380.5,2011.5
CCCCCC,max,95.79,1.0,0.42,4.0,3.32,1403.0,2706.0
CCCCCCC,count,43.0,43.0,43.0,43.0,43.0,43.0,43.0
CCCCCCC,mean,90.37139534883721,1.1209302325581396,0.8546511627906979,8.773953488372094,11.765976744186046,1355.8372093023256,373.4651162790698
CCCCCCC,std,8.273262263631858,0.36681261567265006,0.7024960560377658,7.59953981674921,19.82524591391152,229.90639194831718,454.15307618829985
CCCCCCC,min,77.52600000000001,0.5,0.03,0.33,1.14,806.0,49.0
CCCCCCC,10%,77.52600000000001,0.92,0.03,0.33,1.202,937.8,103.4
CCCCCCC,20%,77.52600000000001,1.0,0.26400000000000007,2.2,1.23,1157.4,135.0
CCCCCCC,30%,88.24000000000001,1.0,0.4,4.4,1.266,1372.2,162.2
CCCCCCC,40%,90.8,1.0,0.4,4.4,2.0679999999999996,1407.1999999999998,187.0
CCCCCCC,50%,95.2,1.0,0.4,4.4,2.14,1432.0,205.0
